className,method,score
cn.nc.channel.mix.model.dto.DisclosureQueryResponse,cn.nc.channel.mix.model.dto.DisclosureQueryResponse#getDetailUrl,1
cn.nc.issuance.dist.service.DistInfoService,cn.nc.issuance.dist.service.DistInfoService#checkMemOfRegNotice,0
cn.nc.user.ukey.service.impl.UkeyServiceImpl,cn.nc.user.ukey.service.impl.UkeyServiceImpl#list,1
cn.nc.channel.msg.service.impl.MessageFileServiceImpl,cn.nc.channel.msg.service.impl.MessageFileServiceImpl#findByMessageId,1
cn.nc.channel.backend.service.dto.component.ComponentRelQuickEntranceRespDto,cn.nc.channel.backend.service.dto.component.ComponentRelQuickEntranceRespDto#setResourceLevel,0
cn.nc.issuance.bid.facade.controller.biddingManagement.bidInfoMgmt.QueryBidInfoMgmtHpController,cn.nc.issuance.bid.facade.controller.biddingManagement.bidInfoMgmt.QueryBidInfoMgmtHpController#handle,1
cn.nc.user.inst.service.impl.InstInfoHisServiceImpl,cn.nc.user.inst.service.impl.InstInfoHisServiceImpl#list,18
cn.nc.issuance.book.dcm.service.dto.bill.PlacingResultReport,cn.nc.issuance.book.dcm.service.dto.bill.PlacingResultReport#setRate,0
cn.nc.common.send.po.MsgEmailRecordPo,cn.nc.common.send.po.MsgEmailRecordPo#setParams,0
cn.nc.user.reguser.service.dto.UserIdentifyDto,cn.nc.user.reguser.service.dto.UserIdentifyDto#getIdentifyWay,1
cn.nc.issuance.book.dcm.service.impl.BookLocalAppointmentAuditServiceImpl,cn.nc.issuance.book.dcm.service.impl.BookLocalAppointmentAuditServiceImpl#mkDir,9
cn.nc.pub.wkcl.service.CalendarCoreService,cn.nc.pub.wkcl.service.CalendarCoreService#workDayCount,0
cn.nc.channel.auth.outer.service.dto.login.WebEmailLoginReqDto,cn.nc.channel.auth.outer.service.dto.login.WebEmailLoginReqDto#getEmail,1
cn.nc.channel.mix.model.dto.RegistrationElementsResponse,cn.nc.channel.mix.model.dto.RegistrationElementsResponse#getSpreadRate,1
cn.nc.issuance.book.dcm.query.facade.controller.hisinfoquery.RegistrationNoticeDownLoadController,cn.nc.issuance.book.dcm.query.facade.controller.hisinfoquery.RegistrationNoticeDownLoadController#handle,1
cn.nc.user.seal.service.impl.SealTaskServiceImpl,cn.nc.user.seal.service.impl.SealTaskServiceImpl#getCompleteParamEntity,2
cn.nc.issuance.book.dcm.query.service.impl.bond.BondIssMgrServiceImpl,cn.nc.issuance.book.dcm.query.service.impl.bond.BondIssMgrServiceImpl#bondConfirmInfoQuery,2
